Schuljahr,Stufe,Schulgemeinde,Geschlecht,Nationalitaet,Anzahl
2007/2008,Kindergartenstufe,Aadorf VSG,männlich,Ausland,16
2007/2008,Kindergartenstufe,Aadorf VSG,männlich,Schweiz,61
2007/2008,Kindergartenstufe,Aadorf VSG,weiblich,Ausland,16
2007/2008,Kindergartenstufe,Aadorf VSG,weiblich,Schweiz,61
2007/2008,Kindergartenstufe,Affeltrangen PSG,männlich,Schweiz,6
2007/2008,Kindergartenstufe,Affeltrangen PSG,weiblich,Ausland,2
2007/2008,Kindergartenstufe,Affeltrangen PSG,weiblich,Schweiz,8
2007/2008,Kindergartenstufe,Altnau PSG,männlich,Schweiz,15
2007/2008,Kindergartenstufe,Altnau PSG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Altnau PSG,weiblich,Schweiz,14
2007/2008,Kindergartenstufe,Amlikon PSG,männlich,Ausland,1
2007/2008,Kindergartenstufe,Amlikon PSG,männlich,Schweiz,6
2007/2008,Kindergartenstufe,Amlikon PSG,weiblich,Schweiz,11
2007/2008,Kindergartenstufe,Amriswil PSG,männlich,Ausland,44
2007/2008,Kindergartenstufe,Amriswil PSG,männlich,Schweiz,74
2007/2008,Kindergartenstufe,Amriswil PSG,weiblich,Ausland,33
2007/2008,Kindergartenstufe,Amriswil PSG,weiblich,Schweiz,93
2007/2008,Kindergartenstufe,Arbon PSG,männlich,Ausland,41
2007/2008,Kindergartenstufe,Arbon PSG,männlich,Schweiz,67
2007/2008,Kindergartenstufe,Arbon PSG,weiblich,Ausland,38
2007/2008,Kindergartenstufe,Arbon PSG,weiblich,Schweiz,58
2007/2008,Kindergartenstufe,Berg-Birwinken VSG,männlich,Ausland,7
2007/2008,Kindergartenstufe,Berg-Birwinken VSG,männlich,Schweiz,39
2007/2008,Kindergartenstufe,Berg-Birwinken VSG,weiblich,Ausland,5
2007/2008,Kindergartenstufe,Berg-Birwinken VSG,weiblich,Schweiz,46
2007/2008,Kindergartenstufe,Berlingen PG,männlich,Ausland,1
2007/2008,Kindergartenstufe,Berlingen PG,männlich,Schweiz,5
2007/2008,Kindergartenstufe,Berlingen PG,weiblich,Schweiz,1
2007/2008,Kindergartenstufe,Bettwiesen PSG,männlich,Ausland,3
2007/2008,Kindergartenstufe,Bettwiesen PSG,männlich,Schweiz,9
2007/2008,Kindergartenstufe,Bettwiesen PSG,weiblich,Ausland,3
2007/2008,Kindergartenstufe,Bettwiesen PSG,weiblich,Schweiz,8
2007/2008,Kindergartenstufe,Bichelsee-Balterswil VSG,männlich,Schweiz,28
2007/2008,Kindergartenstufe,Bichelsee-Balterswil VSG,weiblich,Schweiz,27
2007/2008,Kindergartenstufe,Bischofszell VSG,männlich,Ausland,18
2007/2008,Kindergartenstufe,Bischofszell VSG,männlich,Schweiz,87
2007/2008,Kindergartenstufe,Bischofszell VSG,weiblich,Ausland,17
2007/2008,Kindergartenstufe,Bischofszell VSG,weiblich,Schweiz,82
2007/2008,Kindergartenstufe,Bottighofen PSG,männlich,Ausland,3
2007/2008,Kindergartenstufe,Bottighofen PSG,männlich,Schweiz,9
2007/2008,Kindergartenstufe,Bottighofen PSG,weiblich,Ausland,2
2007/2008,Kindergartenstufe,Bottighofen PSG,weiblich,Schweiz,15
2007/2008,Kindergartenstufe,Braunau PSG,männlich,Ausland,1
2007/2008,Kindergartenstufe,Braunau PSG,männlich,Schweiz,5
2007/2008,Kindergartenstufe,Braunau PSG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Braunau PSG,weiblich,Schweiz,9
2007/2008,Kindergartenstufe,Bürglen VSG,männlich,Ausland,9
2007/2008,Kindergartenstufe,Bürglen VSG,männlich,Schweiz,15
2007/2008,Kindergartenstufe,Bürglen VSG,weiblich,Ausland,15
2007/2008,Kindergartenstufe,Bürglen VSG,weiblich,Schweiz,17
2007/2008,Kindergartenstufe,Bussnang-Rothenhausen PSG,männlich,Schweiz,7
2007/2008,Kindergartenstufe,Bussnang-Rothenhausen PSG,weiblich,Ausland,2
2007/2008,Kindergartenstufe,Bussnang-Rothenhausen PSG,weiblich,Schweiz,11
2007/2008,Kindergartenstufe,Dettighofen-Lanzenneunforn PSG,männlich,Ausland,1
2007/2008,Kindergartenstufe,Dettighofen-Lanzenneunforn PSG,männlich,Schweiz,9
2007/2008,Kindergartenstufe,Dettighofen-Lanzenneunforn PSG,weiblich,Schweiz,6
2007/2008,Kindergartenstufe,Diessenhofen VSG,männlich,Ausland,16
2007/2008,Kindergartenstufe,Diessenhofen VSG,männlich,Schweiz,39
2007/2008,Kindergartenstufe,Diessenhofen VSG,weiblich,Ausland,10
2007/2008,Kindergartenstufe,Diessenhofen VSG,weiblich,Schweiz,51
2007/2008,Kindergartenstufe,Egnach VSG,männlich,Ausland,6
2007/2008,Kindergartenstufe,Egnach VSG,männlich,Schweiz,41
2007/2008,Kindergartenstufe,Egnach VSG,weiblich,Ausland,5
2007/2008,Kindergartenstufe,Egnach VSG,weiblich,Schweiz,38
2007/2008,Kindergartenstufe,Erlen VSG,männlich,Ausland,9
2007/2008,Kindergartenstufe,Erlen VSG,männlich,Schweiz,28
2007/2008,Kindergartenstufe,Erlen VSG,weiblich,Ausland,9
2007/2008,Kindergartenstufe,Erlen VSG,weiblich,Schweiz,32
2007/2008,Kindergartenstufe,Ermatingen PSG,männlich,Ausland,2
2007/2008,Kindergartenstufe,Ermatingen PSG,männlich,Schweiz,11
2007/2008,Kindergartenstufe,Ermatingen PSG,weiblich,Ausland,3
2007/2008,Kindergartenstufe,Ermatingen PSG,weiblich,Schweiz,20
2007/2008,Kindergartenstufe,Eschenz PSG,männlich,Schweiz,17
2007/2008,Kindergartenstufe,Eschenz PSG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Eschenz PSG,weiblich,Schweiz,11
2007/2008,Kindergartenstufe,Eschlikon VSG,männlich,Ausland,6
2007/2008,Kindergartenstufe,Eschlikon VSG,männlich,Schweiz,55
2007/2008,Kindergartenstufe,Eschlikon VSG,weiblich,Ausland,3
2007/2008,Kindergartenstufe,Eschlikon VSG,weiblich,Schweiz,34
2007/2008,Kindergartenstufe,Felben-Wellhausen PSG,männlich,Ausland,3
2007/2008,Kindergartenstufe,Felben-Wellhausen PSG,männlich,Schweiz,16
2007/2008,Kindergartenstufe,Felben-Wellhausen PSG,weiblich,Ausland,5
2007/2008,Kindergartenstufe,Felben-Wellhausen PSG,weiblich,Schweiz,22
2007/2008,Kindergartenstufe,Fischingen VSG,männlich,Ausland,1
2007/2008,Kindergartenstufe,Fischingen VSG,männlich,Schweiz,27
2007/2008,Kindergartenstufe,Fischingen VSG,weiblich,Ausland,1
2007/2008,Kindergartenstufe,Fischingen VSG,weiblich,Schweiz,21
2007/2008,Kindergartenstufe,Frasnacht PSG,männlich,Ausland,1
2007/2008,Kindergartenstufe,Frasnacht PSG,männlich,Schweiz,15
2007/2008,Kindergartenstufe,Frasnacht PSG,weiblich,Ausland,2
2007/2008,Kindergartenstufe,Frasnacht PSG,weiblich,Schweiz,2
2007/2008,Kindergartenstufe,Frauenfeld PSG,männlich,Ausland,62
2007/2008,Kindergartenstufe,Frauenfeld PSG,männlich,Schweiz,166
2007/2008,Kindergartenstufe,Frauenfeld PSG,weiblich,Ausland,61
2007/2008,Kindergartenstufe,Frauenfeld PSG,weiblich,Schweiz,138
